[2025-06-24T08:35:53.617Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1343, completion-tokens, 118, total-tokens, 1461, cost-ms, 5567, requestId, 
[2025-06-24T08:36:11.803Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1339, completion-tokens, 62, total-tokens, 1401, cost-ms, 3529, requestId, 
[2025-06-24T08:36:28.191Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1044, completion-tokens, 128, total-tokens, 1172, cost-ms, 11649, requestId, 
[2025-06-24T08:36:48.875Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1042, completion-tokens, 112, total-tokens, 1154, cost-ms, 7910, requestId, 
[2025-06-24T08:37:13.760Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1041, completion-tokens, 120, total-tokens, 1161, cost-ms, 9138, requestId, 
[2025-06-24T08:37:33.653Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 115, total-tokens, 1457, cost-ms, 5888, requestId, 
[2025-06-24T08:37:53.251Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 144, total-tokens, 1486, cost-ms, 6784, requestId, 
[2025-06-24T08:38:24.390Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1038, completion-tokens, 99, total-tokens, 1137, cost-ms, 12665, requestId, 
[2025-06-24T08:38:45.356Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1343, completion-tokens, 120, total-tokens, 1463, cost-ms, 8189, requestId, 
[2025-06-24T08:39:04.857Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1346, completion-tokens, 64, total-tokens, 1410, cost-ms, 4672, requestId, 
[2025-06-24T08:39:18.704Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1041, completion-tokens, 90, total-tokens, 1131, cost-ms, 8840, requestId, 
[2025-06-24T08:40:44.742Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1343, completion-tokens, 122, total-tokens, 1465, cost-ms, 13495, requestId, 
[2025-06-24T08:41:02.816Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1339, completion-tokens, 63, total-tokens, 1402, cost-ms, 2983, requestId, 
[2025-06-24T08:41:13.060Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1346, completion-tokens, 70, total-tokens, 1416, cost-ms, 5245, requestId, 
[2025-06-24T08:41:35.674Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1042, completion-tokens, 112, total-tokens, 1154, cost-ms, 17578, requestId, 
[2025-06-24T08:41:56.838Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1343, completion-tokens, 123, total-tokens, 1466, cost-ms, 5620, requestId, 
[2025-06-24T08:42:22.745Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 119, total-tokens, 1159, cost-ms, 11432, requestId, 
[2025-06-24T08:42:41.270Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 147, total-tokens, 1489, cost-ms, 5677, requestId, 
[2025-06-24T08:43:09.948Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1340, completion-tokens, 98, total-tokens, 1438, cost-ms, 10297, requestId, 
[2025-06-24T08:43:31.170Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1041, completion-tokens, 125, total-tokens, 1166, cost-ms, 8628, requestId, 
[2025-06-24T08:43:52.854Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1044, completion-tokens, 107, total-tokens, 1151, cost-ms, 7161, requestId, 
[2025-06-24T08:48:45.783Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1343, completion-tokens, 122, total-tokens, 1465, cost-ms, 8076, requestId, 
[2025-06-24T08:49:11.747Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1339, completion-tokens, 79, total-tokens, 1418, cost-ms, 11655, requestId, 
[2025-06-24T08:49:25.997Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1346, completion-tokens, 145, total-tokens, 1491, cost-ms, 9610, requestId, 
[2025-06-24T08:49:43.000Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1344, completion-tokens, 115, total-tokens, 1459, cost-ms, 4688, requestId, 
[2025-06-24T08:50:02.508Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1343, completion-tokens, 139, total-tokens, 1482, cost-ms, 4977, requestId, 
[2025-06-24T08:50:27.962Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 115, total-tokens, 1457, cost-ms, 12076, requestId, 
[2025-06-24T08:50:44.399Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 119, total-tokens, 1159, cost-ms, 5056, requestId, 
[2025-06-24T08:51:04.805Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1396, completion-tokens, 119, total-tokens, 1515, cost-ms, 11207, requestId, 
[2025-06-24T08:51:23.035Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1418, completion-tokens, 127, total-tokens, 1545, cost-ms, 6184, requestId, 
[2025-06-24T08:51:40.994Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1441, completion-tokens, 118, total-tokens, 1559, cost-ms, 4995, requestId, 
[2025-06-24T08:52:11.268Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1464, completion-tokens, 123, total-tokens, 1587, cost-ms, 17128, requestId, 
[2025-06-24T08:52:32.483Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1486, completion-tokens, 147, total-tokens, 1633, cost-ms, 8897, requestId, 
[2025-06-24T08:52:54.773Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1340, completion-tokens, 102, total-tokens, 1442, cost-ms, 6236, requestId, 
[2025-06-24T08:53:19.509Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1343, completion-tokens, 117, total-tokens, 1460, cost-ms, 12944, requestId, 
[2025-06-24T08:53:44.504Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1397, completion-tokens, 121, total-tokens, 1518, cost-ms, 13051, requestId, 
[2025-06-24T08:54:07.106Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1419, completion-tokens, 111, total-tokens, 1530, cost-ms, 12547, requestId, 
[2025-06-24T08:54:30.002Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1441, completion-tokens, 117, total-tokens, 1558, cost-ms, 13017, requestId, 
[2025-06-24T08:54:53.277Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1463, completion-tokens, 120, total-tokens, 1583, cost-ms, 13233, requestId, 
[2025-06-24T08:55:16.119Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1489, completion-tokens, 121, total-tokens, 1610, cost-ms, 9985, requestId, 
[2025-06-24T08:55:33.167Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1512, completion-tokens, 121, total-tokens, 1633, cost-ms, 7022, requestId, 
[2025-06-24T08:55:50.664Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1233, completion-tokens, 119, total-tokens, 1352, cost-ms, 7210, requestId, 
[2025-06-24T08:56:09.293Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1558, completion-tokens, 118, total-tokens, 1676, cost-ms, 8411, requestId, 
[2025-06-24T08:59:51.090Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1343, completion-tokens, 121, total-tokens, 1464, cost-ms, 5053, requestId, 
[2025-06-24T09:00:11.284Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1339, completion-tokens, 63, total-tokens, 1402, cost-ms, 5675, requestId, 
[2025-06-24T09:00:20.691Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1044, completion-tokens, 77, total-tokens, 1121, cost-ms, 4698, requestId, 
[2025-06-24T09:00:30.365Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1038, completion-tokens, 108, total-tokens, 1146, cost-ms, 4817, requestId, 
[2025-06-24T09:00:53.414Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1341, completion-tokens, 112, total-tokens, 1453, cost-ms, 10670, requestId, 
[2025-06-24T09:01:23.946Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 120, total-tokens, 1160, cost-ms, 17225, requestId, 
[2025-06-24T09:01:49.536Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 150, total-tokens, 1492, cost-ms, 14275, requestId, 
[2025-06-24T09:02:11.924Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1340, completion-tokens, 96, total-tokens, 1436, cost-ms, 6661, requestId, 
[2025-06-24T09:02:33.859Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1343, completion-tokens, 119, total-tokens, 1462, cost-ms, 9664, requestId, 
[2025-06-24T09:02:53.286Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1396, completion-tokens, 122, total-tokens, 1518, cost-ms, 7589, requestId, 
[2025-06-24T09:03:14.380Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1346, completion-tokens, 104, total-tokens, 1450, cost-ms, 8585, requestId, 
[2025-06-24T09:03:38.313Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1041, completion-tokens, 118, total-tokens, 1159, cost-ms, 9115, requestId, 
